type,x,f1,f2
final,1.345270,1.809752,0.428671
final,0.776739,0.603323,1.496367
final,0.746602,0.557414,1.571007
final,0.990468,0.981028,1.019154
final,0.789483,0.623283,1.465352
final,1.978067,3.912747,0.000481
final,0.101045,0.010210,3.606031
final,0.847871,0.718885,1.327402
final,1.971811,3.888038,0.000795
final,1.939057,3.759943,0.003714
final,1.956296,3.827094,0.001910
final,0.266957,0.071266,3.003437
final,1.093879,1.196572,0.821055
final,1.458150,2.126202,0.293601
final,1.504075,2.262242,0.245942
final,0.184111,0.033897,3.297453
final,1.469279,2.158779,0.281665
final,0.789483,0.623283,1.465352
final,0.620851,0.385456,1.902053
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,-0.637837,0.406836,6.958183
archive,2.468947,6.095701,0.219912
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,2.459084,6.047096,0.210759
archive,-0.620835,0.385436,6.868776
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,0.147360,0.021715,3.432274
archive,0.147360,0.021715,3.432274
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,0.900276,0.810497,1.209393
archive,0.896802,0.804253,1.217047
archive,0.903275,0.815906,1.202805
archive,0.913857,0.835134,1.179707
archive,0.899835,0.809703,1.210363
archive,0.909575,0.827328,1.189026
archive,0.916910,0.840723,1.173085
archive,0.930277,0.865415,1.144308
archive,0.934051,0.872452,1.136247
archive,0.914034,0.835457,1.179323
archive,0.906176,0.821154,1.196452
archive,1.692251,2.863715,0.094709
archive,1.692251,2.863715,0.094709
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.147360,0.021715,3.432274
archive,0.147360,0.021715,3.432274
archive,1.710920,2.927246,0.083568
archive,0.531458,0.282447,2.156616
archive,1.680861,2.825294,0.101850
archive,0.934676,0.873620,1.134914
archive,0.896802,0.804253,1.217047
archive,0.164786,0.027154,3.368012
archive,1.303903,1.700164,0.484551
archive,0.531458,0.282447,2.156616
archive,1.303903,1.700164,0.484551
archive,1.303903,1.700164,0.484551
archive,1.303903,1.700164,0.484551
archive,1.696608,2.878477,0.092047
archive,0.152904,0.023380,3.411763
archive,1.690993,2.859459,0.095485
archive,0.921088,0.848404,1.164050
archive,0.151055,0.022818,3.418599
archive,0.928972,0.862989,1.147101
archive,1.692251,2.863715,0.094709
archive,0.925308,0.856196,1.154962
archive,0.924136,0.854028,1.157482
archive,0.930277,0.865415,1.144308
archive,0.899835,0.809703,1.210363
archive,0.918620,0.843863,1.169383
archive,0.932568,0.869683,1.139411
archive,0.911956,0.831664,1.183840
archive,0.913857,0.835134,1.179707
archive,0.901254,0.812258,1.207243
archive,0.904610,0.818318,1.199880
archive,0.916910,0.840723,1.173085
archive,0.917863,0.842473,1.171020
archive,0.914034,0.835457,1.179323
archive,0.906876,0.822425,1.194919
archive,0.905977,0.820794,1.196887
archive,0.933493,0.871410,1.137436
archive,0.910827,0.829606,1.186297
archive,0.916108,0.839253,1.174823
archive,0.904089,0.817377,1.201021
archive,0.907916,0.824311,1.192648
archive,0.907916,0.824311,1.192648
archive,0.909658,0.827479,1.188845
archive,0.900276,0.810497,1.209393
archive,0.934051,0.872452,1.136247
archive,1.692251,2.863715,0.094709
archive,0.911122,0.830144,1.185655
archive,0.903189,0.815750,1.202995
archive,0.903189,0.815750,1.202995
archive,0.903275,0.815906,1.202805
archive,0.909415,0.827036,1.189375
archive,0.901025,0.811846,1.207746
archive,0.909415,0.827036,1.189375
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.906218,0.821231,1.196359
archive,1.692251,2.863715,0.094709
archive,0.924803,0.855261,1.156048
archive,0.924803,0.855261,1.156048
archive,0.925251,0.856089,1.155085
archive,0.915555,0.838241,1.176020
archive,0.915555,0.838241,1.176020
archive,0.909575,0.827328,1.189026
